Company Name,Sector,ESG Score
ELK-DESA RESOURCES BERHAD,FINANCIAL SERVICES,50
ELSOFT RESEARCH BHD,TECHNOLOGY,75
EMICO HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
ENCORP BHD,PROPERTY,50
ENG KAH CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
ENGTEX GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
ENRA GROUP BERHAD,ENERGY,75
EONMETALL GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
EP MANUFACTURING BHD,INDUSTRIAL PRODUCTS & SERVICES,50
EPICON BERHAD,CONSTRUCTION,50
ESTHETICS INTERNATIONAL GROUP,CONSUMER PRODUCTS & SERVICES,50
EUPE CORPORATION BHD,PROPERTY,50
EURO HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
EUROSPAN HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
EVERGREEN FIBREBOARD BHD,INDUSTRIAL PRODUCTS & SERVICES,75
EVERSENDAI CORPORATION BERHAD,CONSTRUCTION,50
EXCEL FORCE MSC BHD,TECHNOLOGY,75
EXSIM HOSPITALITY BERHAD,CONSUMER PRODUCTS & SERVICES,50
FACB INDUSTRIES INCORPORATED,INDUSTRIAL PRODUCTS & SERVICES,75
FAJARBARU BUILDER GRP BHD,CONSTRUCTION,75
FAR EAST HOLDINGS BHD,PLANTATION,50
FARLIM GROUP (M) BHD,PROPERTY,50
FARM FRESH BERHAD,CONSUMER PRODUCTS & SERVICES,75
FAVELLE FAVCO BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FCW HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
FEDERAL INTERNATIONAL HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
FGV HOLDINGS BERHAD,PLANTATION,75
FIAMMA HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
FIBON BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
FIMA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FITTERS DIVERSIFIED BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FM GLOBAL LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS,75
FOCUS LUMBER BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
FOCUS POINT HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
FORMOSA PROSONIC INDUSTRIES,CONSUMER PRODUCTS & SERVICES,50
FOUNDPAC GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
FRASER & NEAVE HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,100
FRONTKEN CORPORATION BHD,TECHNOLOGY,100
FSBM HOLDINGS BHD,TECHNOLOGY,50
G CAPITAL BERHAD,TRANSPORTATION & LOGISTICS,50
G3 GLOBAL BERHAD,CONSUMER PRODUCTS & SERVICES,75
GABUNGAN AQRS BERHAD,CONSTRUCTION,75
GADANG HOLDINGS BHD,CONSTRUCTION,50
GAMUDA BHD,CONSTRUCTION,75
GAS MALAYSIA BERHAD,UTILITIES,75
GDB HOLDINGS BERHAD,CONSTRUCTION,75
GDEX BERHAD,TRANSPORTATION & LOGISTICS,75
GENETEC TECHNOLOGY BERHAD,TECHNOLOGY,75
GENTING BHD,CONSUMER PRODUCTS & SERVICES,75
GENTING MALAYSIA BERHAD,CONSUMER PRODUCTS & SERVICES,100
